sentence,tags,source
The highest peak in the Ahaggar Mountains is Mount Tahat.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O']",GPT
"The three mountains are Owl Peak, Mount Saint Elias, and Shiprock.","['O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'B-mount', 'I-mount', 'B-mount', 'O', 'O', 'I-mount', 'O']",GPT
The Gasherbrum II mountain is one of the highest peaks in the world.,"['O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",GPT
Mount Edgecumbe is a beautiful mountain.,"['B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O']",GPT
The Azufral mountain is a beautiful and majestic peak.,"['O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",GPT
The trek to Harishchandragad is known for its stunning views and challenging terrain.,"['O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",GPT
The White Mountain is a majestic peak that stands tall and proud.,"['O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",GPT
Mount Hotaka is a beautiful mountain.,"['B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O']",GPT
Old Rag Mountain is a beautiful peak to hike in Virginia.,"['B-mount', 'I-mount', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",GPT
The mountain is called Peak 5390.,"['O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O']",GPT
The Mont Pourri is a majestic mountain.,"['O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O']",GPT
The highest mountain in Malawi is Sapitwa.,"['O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']",GPT
Trebevic is a beautiful mountain.,"['B-mount', 'O', 'O', 'O', 'O', 'O']",GPT
Mount Saint John is a beautiful mountain to hike.,"['B-mount', 'I-mount', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",GPT
The highest mountain in Canada is Barbeau Peak.,"['O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O']",GPT
The Muztagh Tower is one of the most prominent mountains in the world.,"['O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",GPT
The mountain El Tucuche is a prominent peak in Trinidad and Tobago.,"['O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",GPT
Mount Temple is a majestic peak in the Canadian Rockies.,"['B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",GPT
Mammoth Mountain is a popular ski resort in California.,"['B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",GPT
