,names,sentence,tags
0,['Himalaya'],The Himalaya in Asia formed from one such massive wreck that started about 55 million years ago.,"['O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,['Himalaya'],Thirty of the world’s highest mountains are in the Himalaya.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
2,['Mount Everest'],"The summit of Mount Everest, at 29,035 feet (8,850 metres), is the highest point on Earth.","['O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,['Mauna Kea'],"The tallest mountain measured from top to bottom is Mauna Kea, an inactive volcano on the island of Hawaii in the Pacific Ocean.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,['Mauna Kea'],"Measured from the base, Mauna Kea stands 33,474 feet (10,203 metres) tall, though it only rises 13,796 feet (4,205 metres) above the sea.","['O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Mount St. Helens', 'Mount Fuji']",Well-known volcanoes on land include Mount St. Helens in Washington State and Mount Fuji in Japan.,"['O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O']"
6,['Mount St. Helens'],"Sometimes volcanic eruptions break down mountains instead of building them up, like the 1980 eruption that blew the top off Mount St. Helens.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O']"
7,"['Black Hills', 'Adirondack Mountains']",Examples include the Black Hills of South Dakota and the Adirondack Mountains of New York.,"['O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O']"
8,"['Sierra Nevada', 'Tetons', 'Harz Mountains']","Examples of fault-block mountains include the Sierra Nevada in California and Nevada, the Tetons in Wyoming, and the Harz Mountains in Germany.","['O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O']"
9,"['Appalachians', 'Himalayas']","The Appalachians, stretching along North America’s east coast, are generally low-lying, gentle slopes. Millions of years ago, the Appalachians were taller than the Himalayas!","['O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
10,"['Appalachians', 'Everest']","Today, some of the highest peaks of the Appalachians are less than a third of the height of Everest.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
11,"['Appalachians', 'Central Pangean Mountains']",The Appalachians are just one remnant of the Central Pangean Mountains.,"['O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O']"
12,"['Scottish Highlands', 'Little Atlas Mountains', 'Central Pangean Mountains']",They are related to the gentle fold mountains of the Scottish Highlands (Eurasia) and the Little Atlas Mountains in Morocco (Africa)—their orogenic sisters from the Central Pangean Mountains.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O']"
